   Na    11    31    42     1.74800228e+02     1.35015160e+02     3.09815387e+02       43.579     2.237291e-03   0.003   0.000   0.001   0.000   0.103   0.893   4.880        8.709393         9.395305         9.064601
   Na    11    32    43     1.97096704e+02     1.67378982e+02     3.64475686e+02       45.923     1.901765e-03   0.002   0.000   0.000   0.001   0.000   0.997   4.987        8.954081         9.633549         7.909770
   Na    11    33    44     2.23059059e+02     2.04548008e+02     4.27607067e+02       47.836     1.620991e-03   0.002   0.000   0.000   0.000   0.001   0.998   4.990        9.175263         9.846074         9.458063
   Mg    12    15    27     0.00000000e+00     0.00000000e+00     0.00000000e+00        0.000     1.000000e+32   1.000   0.000   0.000   0.000   0.000   0.000   0.000        0.000000         0.000000         0.000000
   Mg    12    16    28     5.96810871e-06     0.00000000e+00     5.96810871e-06        0.000     1.161418e+05   1.000   0.000   0.000   0.000   0.000   0.000   0.000        0.219832         0.399663         1.041305
   Mg    12    17    29     2.16798515e-02     0.00000000e+00     2.16798515e-02        0.000     3.197195e+01   0.999   0.001   0.000   0.000   0.000   0.000   0.001        1.348825         1.732801         2.430074
   Mg    12    18    30     5.18137854e-01     1.40000012e-10     5.18137854e-01        0.000     1.337766e+00   0.998   0.002   0.000   0.000   0.000   0.000   0.002        2.440335         2.876359         0.026506
   Mg    12    19    31     4.10191250e+00     2.78008000e-05     4.10194030e+00        0.001     1.689803e-01   0.997   0.002   0.001   0.000   0.000   0.000   0.004        3.514840         3.976413         1.599446
   Mg    12    20    32     2.08003237e+01     3.70740000e-05     2.08003607e+01        0.000     3.332381e-02   0.991   0.008   0.000   0.000   0.000   0.000   0.010        4.620746         5.098864         0.000000
   Mg    12    21    33     2.23793392e+01     3.04864182e-01     2.26842034e+01        1.344     3.055638e-02   0.972   0.017   0.010   0.000   0.000   0.000   0.040        4.858124         5.345200         4.492976
   Mg    12    22    34     2.66934102e+01     1.10325781e+00     2.77966680e+01        3.969     2.493634e-02   0.862   0.126   0.010   0.001   0.000   0.000   0.152        5.172594         5.678467         2.977139
   Mg    12    23    35     3.28914208e+01     2.77249958e+00     3.56639204e+01        7.774     1.943553e-02   0.122   0.834   0.041   0.001   0.001   0.001   0.926        5.535223         6.069486         5.492791
   Mg    12    24    36     4.01360592e+01     5.75645624e+00     4.58925155e+01       12.543     1.510371e-02   0.151   0.811   0.016   0.020   0.000   0.001   0.910        5.905604         6.474298         3.628997
   Mg    12    25    37     4.87625750e+01     1.06327566e+01     5.93953316e+01       17.902     1.167006e-02   0.178   0.751   0.031   0.037   0.002   0.001   0.939        6.292407         6.897840         5.942953
   Mg    12    26    38     6.06757598e+01     1.83407581e+01     7.90165180e+01       23.211     8.772181e-03   0.216   0.713   0.018   0.050   0.001   0.001   0.912        6.718004         7.354824         4.192772
   Mg    12    27    39     6.94957804e+01     2.80564755e+01     9.75522558e+01       28.760     7.105394e-03   0.245   0.060   0.621   0.020   0.052   0.003   1.580        7.057802         7.722410         6.089388
   Mg    12    28    40     8.31654663e+01     4.19382255e+01     1.25103692e+02       33.523     5.540581e-03   0.241   0.158   0.510   0.034   0.052   0.005   1.512        7.432534         8.117493         4.469873
   Mg    12    29    41     9.46446065e+01     5.85183944e+01     1.53163001e+02       38.207     4.525552e-03   0.186   0.142   0.524   0.052   0.050   0.046   1.777        7.763513         8.461606         6.165681
   Mg    12    30    42     1.04832991e+02     7.80187578e+01     1.82851749e+02       42.668     3.790760e-03   0.146   0.276   0.028   0.444   0.016   0.091   2.181        8.053959         8.756843         4.579398
   Mg    12    31    43     1.18520840e+02     1.02874594e+02     2.21395434e+02       46.466     3.130811e-03   0.035   0.061   0.345   0.021   0.417   0.122   3.090        8.353973         9.050651         6.257376
   Mg    12    32    44     1.36005320e+02     1.32171964e+02     2.68177284e+02       49.285     2.584660e-03   0.024   0.133   0.138   0.187   0.034   0.483   3.522        8.642540         9.322666         5.033193
   Mg    12    33    45     1.54095997e+02     1.66686308e+02     3.20782305e+02       51.962     2.160802e-03   0.005   0.000   0.018   0.058   0.303   0.616   4.504        8.912288         9.570502         6.509010
   Mg    12    34    46     1.82612796e+02     2.09253345e+02     3.91866141e+02       53.399     1.768837e-03   0.004   0.000   0.000   0.004   0.034   0.958   4.938        9.163158         9.776872         5.443970
   Mg    12    35    47     2.38682349e+02     2.64579649e+02     5.03261998e+02       52.573     1.377309e-03   0.002   0.000   0.000   0.000   0.000   0.998   4.990        9.434934         9.932527         7.553640
